Date,Open,High,Low,Close,Adj Close
9/29/2021,-0.8730605200275222,-0.9205240852762673,-0.7897564845098883,-0.8593961153801984,-0.8593961153801984
9/30/2021,-0.8643733887317516,-0.9517178357568401,-0.7574672010644102,-0.9019218638609034,-0.9019218638609034
10/1/2021,-0.8831943809021737,-1.0113213448384348,-0.8427498600213316,-0.9038184581178835,-0.9038184581178835
10/4/2021,-0.752171853747505,-0.82437320108514,-0.749096199347644,-0.8577913519875425,-0.8577913519875425
10/5/2021,-0.8368659601926316,-0.8933279077206361,-0.7634466033235868,-0.8646484800987233,-0.8646484800987233
10/6/2021,-0.8991198942830294,-0.9693491204778784,-0.7707720174359802,-0.8488927426853174,-0.8488927426853174
10/7/2021,-0.8320883148649639,-0.83843494587757,-0.6948320862181963,-0.7696759373118497,-0.7696759373118497
10/8/2021,-0.7542714021599161,-0.899966359431549,-0.713293737066853,-0.828906376822598,-0.828906376822598
10/11/2021,-0.8162357036771211,-0.8652749574938848,-0.6789864673026234,-0.7818575344230456,-0.7818575344230456
10/12/2021,-0.7201041400385545,-0.786183526669928,-0.5962453060047778,-0.6813421309125537,-0.6813421309125537
10/13/2021,-0.651045262906961,-0.764126614613114,-0.5274070066928317,-0.6422449574289065,-0.6422449574289065
10/14/2021,-0.6147068748849033,-0.729578368598029,-0.470825850802869,-0.5894335277228998,-0.5894335277228998
10/15/2021,-0.5549865797449358,-0.5656856949673419,-0.4035566504356231,-0.4091911181339489,-0.4091911181339489
10/18/2021,-0.3519374459702232,-0.33690777609761596,-0.18590345284137919,-0.21166101227445316,-0.21166101227445316
10/19/2021,-0.16560975595351954,-0.31770608054241783,-0.10338674644209153,-0.25426022177882013,-0.25426022177882013
10/20/2021,-0.2537785846181297,-0.3780951162585694,-0.14172998884381993,-0.2430997044486889,-0.2430997044486889
10/21/2021,-0.3214616147320536,-0.16030938796401617,-0.1557820539161357,-0.03740021632076854,-0.03740021632076854
10/22/2021,-0.035528312067902044,-0.08892749782323837,0.10925877491534794,0.07697433034614921,0.07697433034614921
10/25/2021,0.3628239291712773,0.8748673846335995,0.5071936088783455,0.9171334401520412,0.9171334401520412
10/26/2021,0.8996551130186509,1.2312049611546225,0.9350254317141617,0.8702308414287238,0.8702308414287238
10/27/2021,1.0080207591548802,1.0594602547676315,1.154323002488316,1.011959739262679,1.011959739262679
10/28/2021,1.2154127962251147,1.1316989175795293,1.3293725077217053,1.2977508469859576,1.2977508469859576
10/29/2021,1.3134987553841952,1.375895296795156,1.4714600823520783,1.5673488211263549,1.5673488211263549
11/1/2021,1.7705579577954058,2.050737583796261,1.8111694096682693,2.2573178199655413,2.2573178199655413
11/2/2021,1.8745078201595748,2.042457496629123,2.015518486006015,1.9904184935343783,1.9904184935343783
11/3/2021,2.0045892640451926,2.090996948078528,2.0649986826821443,2.295758549067963,2.295758549067963
11/4/2021,2.41778143399841,2.2915794674773733,2.546197494168242,2.412832399932261,2.412832399932261
11/5/2021,2.371380784306453,2.2657393416257605,2.478928293800996,2.355791042030965,2.355791042030965
11/8/2021,1.8052322126477995,1.959725965103949,1.918351624073947,1.9243322607716817,1.9243322607716817
11/9/2021,1.977588806520634,1.7991172262351633,1.0103672948945457,0.9072130508147257,0.9072130508147257
11/10/2021,0.7962851672949972,1.1109980572267317,0.8294129889451864,1.231445566011511,1.231445566011511
11/11/2021,1.464862579691782,1.302800546576089,1.3329602881002258,1.1990585767087847,1.1990585767087847
