Date,Open,High,Low,Close,Adj Close,Volume
12/20/2021,303.566681,307.230011,297.796661,299.980011,299.980011,56480100
12/21/2021,305.623322,313.166656,295.373322,312.843323,312.843323,71517900
12/22/2021,321.886658,338.553345,319.016663,336.290009,336.290009,93634200
12/23/2021,335.600006,357.660004,332.519989,355.666656,355.666656,92713200
12/27/2021,357.890015,372.333344,356.906677,364.646667,364.646667,71145900
12/28/2021,369.829987,373,359.473328,362.823334,362.823334,60324000
12/29/2021,366.213318,368,354.713318,362.063324,362.063324,56154000
12/30/2021,353.776672,365.183319,351.049988,356.779999,356.779999,47040900
12/31/2021,357.813324,360.666656,351.529999,352.26001,352.26001,40733700
1/3/2022,382.583344,400.356659,378.679993,399.926666,399.926666,103931400
1/4/2022,396.516663,402.666656,374.350006,383.196655,383.196655,100248300
1/5/2022,382.216675,390.113342,360.33667,362.706665,362.706665,80119800
1/6/2022,359,362.666656,340.166656,354.899994,354.899994,90336600
1/7/2022,360.123322,360.309998,336.666656,342.320007,342.320007,84164700
1/10/2022,333.333344,353.033325,326.666656,352.706665,352.706665,91815000
1/11/2022,351.223328,358.616669,346.273346,354.799988,354.799988,66063300
1/12/2022,359.616669,371.613342,357.529999,368.73999,368.73999,83739000
1/13/2022,369.690002,371.866669,342.179993,343.853333,343.853333,97209900
1/14/2022,339.959991,350.666656,337.793335,349.869995,349.869995,72924300
1/18/2022,342.203339,356.929993,338.686676,343.503326,343.503326,66743400
1/19/2022,347.236664,351.556671,331.666656,331.883331,331.883331,75442500
1/20/2022,336.57666,347.220001,331.333344,332.089996,332.089996,70488600
1/21/2022,332.113342,334.850006,313.5,314.633331,314.633331,103416000
1/24/2022,301.58667,311.170013,283.823334,310,310,151565700
1/25/2022,304.733337,317.08667,301.070007,306.133331,306.133331,86595900
1/26/2022,317.476654,329.230011,302,312.470001,312.470001,104867400
1/27/2022,311.119995,311.796661,276.333344,276.366669,276.366669,147109500
1/28/2022,277.186676,285.833344,264.003326,282.116669,282.116669,134789100
1/31/2022,290.90332,312.66333,287.350006,312.23999,312.23999,104436000
2/1/2022,311.736664,314.566681,301.666656,310.416656,310.416656,73138200
2/2/2022,309.393341,310.5,296.470001,301.886658,301.886658,66792900
2/3/2022,294,312.333344,293.506653,297.046661,297.046661,78855600
2/4/2022,299.073334,312.166656,293.723328,307.773346,307.773346,73625400
2/7/2022,307.929993,315.92334,300.90332,302.446655,302.446655,60994500
2/8/2022,301.843323,308.763336,298.266663,307.333344,307.333344,50729100
2/9/2022,311.666656,315.42334,306.666656,310.666656,310.666656,52259400
2/10/2022,302.790009,314.603333,298.899994,301.516663,301.516663,66126900
2/11/2022,303.209991,305.320007,283.566681,286.666656,286.666656,79645800
2/14/2022,287.190002,299.626678,284.383331,291.920013,291.920013,67756500
2/15/2022,300,307.666656,297.793335,307.476654,307.476654,57286200
2/16/2022,304.683319,308.809998,300.40332,307.796661,307.796661,51294300
2/17/2022,304.420013,306.166656,291.366669,292.116669,292.116669,55178400
2/18/2022,295.333344,295.623322,279.203339,285.660004,285.660004,68501700
2/22/2022,278.043335,285.57666,267.033325,273.843323,273.843323,83288100
2/23/2022,276.809998,278.433319,253.520004,254.679993,254.679993,95256900
2/24/2022,233.463333,267.493347,233.333328,266.92334,266.92334,135322200
2/25/2022,269.743347,273.166656,260.799988,269.956665,269.956665,76067700
2/28/2022,271.670013,292.286682,271.570007,290.143341,290.143341,99006900
3/1/2022,289.893341,296.626678,284.593323,288.123322,288.123322,74766900
3/2/2022,290.709991,295.493347,281.42334,293.296661,293.296661,74643300
3/3/2022,292.92334,295.480011,277.533325,279.763336,279.763336,61623600
3/4/2022,283.033325,285.216675,275.053345,279.429993,279.429993,66999600
3/7/2022,285.433319,288.713318,268.190002,268.193329,268.193329,72494100
3/8/2022,265.176666,283.329987,260.723328,274.799988,274.799988,80399100
3/9/2022,279.82666,286.853333,277.33667,286.323334,286.323334,59184000
3/10/2022,283.816681,284.816681,270.119995,279.433319,279.433319,58648500
3/11/2022,280.066681,281.266663,264.589996,265.116669,265.116669,67037100
3/14/2022,260.203339,266.899994,252.013336,255.456665,255.456665,71152200
3/15/2022,258.42334,268.523346,252.190002,267.296661,267.296661,66841200
3/16/2022,269.666656,280.666656,267.420013,280.07666,280.07666,84028800
3/17/2022,276.996674,291.666656,275.23999,290.533325,290.533325,66582900
3/18/2022,291.496674,302.616669,289.130005,301.796661,301.796661,100414200
3/21/2022,304.993347,314.283325,302.363342,307.053345,307.053345,81981600
3/22/2022,310,332.619995,307.25,331.32666,331.32666,105868500
3/23/2022,326.646667,346.899994,325.466675,333.036682,333.036682,120676200
3/24/2022,336.57666,341.496674,329.600006,337.973328,337.973328,68920800
3/25/2022,336,340.600006,332.440002,336.880005,336.880005,62031600
3/28/2022,355.033325,365.959991,351.200012,363.946655,363.946655,102506100
3/29/2022,369.329987,371.589996,357.703339,366.523346,366.523346,73614900
3/30/2022,363.723328,371.316681,361.333344,364.66333,364.66333,59865000
3/31/2022,364.856659,367.713318,358.880005,359.200012,359.200012,48992700
4/1/2022,360.383331,364.916656,355.546661,361.529999,361.529999,54263100
4/4/2022,363.126678,383.303345,357.51001,381.816681,381.816681,82035900
4/5/2022,378.766663,384.290009,362.433319,363.753326,363.753326,80075100
4/6/2022,357.823334,359.666656,342.566681,348.58667,348.58667,89348400
4/7/2022,350.796661,358.863342,340.513336,352.420013,352.420013,79447200
4/8/2022,347.736664,349.480011,340.813324,341.829987,341.829987,55013700
4/11/2022,326.799988,336.156677,324.880005,325.309998,325.309998,59357100
4/12/2022,332.546661,340.396667,325.533325,328.983337,328.983337,65976000
4/13/2022,327.026672,342.079987,324.366669,340.790009,340.790009,55121100
4/14/2022,333.09668,337.570007,327.396667,328.333344,328.333344,58422300
4/18/2022,329.676666,338.306671,324.470001,334.763336,334.763336,51715200
4/19/2022,335.019989,344.980011,331.776672,342.716675,342.716675,49847700
4/20/2022,343.333344,344.666656,325.083344,325.733337,325.733337,70711200
4/21/2022,358.243347,364.073334,332.140015,336.26001,336.26001,105416400
4/22/2022,338.303345,344.950012,331.333344,335.016663,335.016663,69696600
4/25/2022,326.323334,336.206665,325.100006,332.67334,332.67334,68341200
4/26/2022,331.809998,333.333344,291.666656,292.140015,292.140015,136133700
4/27/2022,299.526672,306,292.453339,293.83667,293.83667,76956300
4/28/2022,299.993347,300,273.899994,292.503326,292.503326,124948500
4/29/2022,300.75,311.466675,290,290.253326,290.253326,88133100
5/2/2022,286.92334,302.119995,282.676666,300.980011,300.980011,75781500
5/3/2022,301.059998,308.026672,296.196655,303.083344,303.083344,63709500
